"buyPrice","sellVolume","sellMovingWeek","productId","sellOrders","buyOrders","sellPrice","buyVolume","buyMovingWeek"
"277.763862","2366871","3656616","FLAWED_AMBER_GEM","62","432","238.767563","727265","64490"
"309.129534","11596324","5984063","FLAWED_AMETHYST_GEM","331","441","243.729012","487231","31942"
"256.830777","11724007","19717879","FLAWED_JADE_GEM","261","179","236.458585","403998","77391"
"677.690506","9667565","3832347","FLAWED_JASPER_GEM","292","340","615.243315","501725","82844"
"342.784141","8798089","779272","FLAWED_OPAL_GEM","286","644","249.948891","337144","24254"
"270.466764","13687360","14982724","FLAWED_RUBY_GEM","330","806","237.28985","1137758","602970"
"324.675596","5225371","7692727","FLAWED_SAPPHIRE_GEM","131","365","221.612476","538369","196755"
"808.910276","6852920","8105130","FLAWED_TOPAZ_GEM","170","272","254.646383","505414","134101"
"2176185.055556","192154","2560","FLAWLESS_AMBER_GEM","1171","26","1461117.979734","270","3569"
"1694990.1","5554","1725","FLAWLESS_AMETHYST_GEM","241","60","1174505.873292","378","3915"
"1563170.192982","95453","4794","FLAWLESS_JADE_GEM","369","20","1436563.990256","367","5039"
"4255256.390909","1196","3498","FLAWLESS_JASPER_GEM","132","52","3841573.596154","513","6425"
"2543570.057143","317661","752","FLAWLESS_OPAL_GEM","239","259","2023208.379412","1189","382"
"1630902.614286","91997","2818","FLAWLESS_RUBY_GEM","120","45","1240621.186957","556","5994"
"2014565.693939","72598","3021","FLAWLESS_SAPPHIRE_GEM","14","59","529306.887453","887","7791"
"1759528","320343","3464","FLAWLESS_TOPAZ_GEM","202","38","1661060.738636","126","3795"
"20.392271","4656114","10025485","FLINT","115","319","14.626563","369564","2801377"
"25595.414738","1404608","293823","FOUL_FLESH","1097","326","3631.98975","94264","167334"
"29556.734086","106923","73524","FUEL_GABAGOOL","73","168","19274.602699","39810","112908"
"1069818.698529","78386","23236","FUMING_POTATO_BOOK","2343","1080","752237.104855","3351","28773"
"2423112.5","11378","4433","FURBALL","1079","114","1831477.980349","219","5183"
"44.987751","2326408","8487674","GHAST_TEAR","103","1617","29.231791","3966177","4559005"
"400000","11500","2844","GIANT_TOOTH","325","36","242429.777328","208","4236"
"15.825769","5057458","30845369","GLOWSTONE_DUST","154","159","12.652129","1326239","24715021"
"5969.811287","1846147","27627","GLOWSTONE_DUST_DISTILLATE","387","596","2308.331496","66317","15824"
"4357.148498","3277537","449384","GOBLIN_EGG","927","1221","3368.637924","347481","518622"
"519997.563636","984434","1472","GOBLIN_EGG_BLUE","903","76","239428.192485","531","990"
"7895.902008","1094369","40771","GOBLIN_EGG_GREEN","411","356","2232.682901","20640","29074"
"24554.999608","685783","6048","GOBLIN_EGG_RED","844","29","10764.475093","1375","5404"
"66383.37027","543984","12106","GOBLIN_EGG_YELLOW","397","102","21415.769323","3593","4938"
"4.435224","4199992","189698562","GOLD_INGOT","99","1431","3.394483","12680791","19042981"
"1097999","3876","134","GOLDEN_BALL","223","74","496228.077647","581","444"
"60994.371628","620521","95604","GOLDEN_TOOTH","144","354","23507.045222","119825","157226"
"3455.322923","1361995","1760009","GRAND_EXP_BOTTLE","3854","1939","3278.813712","1117400","4406414"
"5.83203","994473","9148975","GRAVEL","28","220","2.5","2802881","6769177"
"1609175.675","26297","536","GREAT_WHITE_SHARK_TOOTH","1455","300","1126180.999518","2336","1598"
"948.568332","25123101","2253565","GREEN_CANDY","1119","2986","608.14524","3691503","1368753"
"10792.334562","32346","75747","GREEN_GIFT","38","1116","9815.078175","738006","103471"
"65824.020833","7952983","821707","GRIFFIN_FEATHER","1733","4078","5010.163377","1680657","437762"
"20704.024734","2271400","351715","HAMSTER_WHEEL","1303","498","19714.494591","179860","139377"
